,knots
0,0.14775
1,0.22162500000000002
2,0.24024
3,0.263467
4,0.280684
5,0.297901
6,0.315118
7,0.366769
8,0.38398600000000005
9,0.4004
10,0.40120300000000003
11,0.431433
12,0.444446
13,0.457459
14,0.470472
15,0.509511
16,0.522524
17,0.5355369999999999
18,0.56056
19,0.565767
20,0.582984
21,0.600201
22,0.617418
23,0.6346350000000001
24,0.669069
25,0.686286
26,0.703503
27,0.72072
28,0.7365360000000001
29,0.752352
30,0.768168
31,0.783984
32,0.7998000000000001
33,0.831432
34,0.847248
35,0.863064
36,0.893895
37,0.9009
38,0.90891
39,0.923925
40,0.93894
41,0.9539549999999999
42,0.9839849999999999
43,0.9989999999999999
44,1.001
45,1.0140149999999999
46,1.0442449999999999
47,1.0594599999999998
48,1.0746749999999998
49,1.0898899999999998
50,1.105105
51,1.135535
52,1.15075
53,1.165965
54,1.197196
55,1.1992
56,1.213212
57,1.229228
58,1.245244
59,1.26126
60,1.2932919999999999
61,1.309308
62,1.31932
63,1.325324
64,1.357356
65,1.373372
66,1.389388
67,1.405404
68,1.42142
69,1.453452
70,1.469468
71,1.485484
72,1.4995
73,1.5159150000000001
74,1.53033
75,1.544745
76,1.55916
77,1.573575
78,1.602405
79,1.6168200000000001
80,1.631235
81,1.63964
82,1.662466
83,1.679282
84,1.696098
85,1.712914
86,1.72973
87,1.746546
88,1.7633619999999999
89,1.77978
90,1.780178
91,1.796994
92,1.8300269999999998
93,1.846244
94,1.862461
95,1.878678
96,1.894895
97,1.927329
98,1.943546
99,1.9597630000000001
100,1.95996
101,1.978382
102,1.980784
103,1.9831860000000001
104,1.9855880000000001
105,1.98799
106,1.990392
107,1.992794
108,1.995196
109,1.997598
